,Accident date,Header,Deaths,Injured
860,2016-11-04,"3 workers killed, 7 injured in Mymensingh road accident",3.0,7.0
861,2016-11-01,3 killed in Comilla road accident,3.0,0.0
862,2016-10-31,Dhaka College student loses hand under bus,0.0,1.0
863,2016-10-29,20 injured in Savar road accident,0.0,20.0
864,2016-10-27,"One killed, 10 injured in Gaibandha road accident",1.0,10.0
865,2016-10-26,Bus kills RMG worker in Narayanganj,1.0,0.0
866,2016-10-24,Traffic police killed in Rajshahi road accident,1.0,0.0
867,2016-10-22,Another DMCH ambulance victim dies,1.0,0.0
868,2016-10-21,Two killed in Munshiganj road accident,2.0,0.0
869,2016-10-17,2 killed in Faridpur road accident,2.0,0.0
870,2016-10-09,Six people killed in road accidents,6.0,0.0
871,2016-10-03,6 killed in Mymensingh road accident,6.0,0.0
872,2016-09-30,3 die in road rage in Chapainawabganj,3.0,0.0
873,2016-09-29,Three killed in road accident,3.0,0.0
874,2016-09-27,Speeding truck kills three men in Brahmanbaria,3.0,0.0
875,2016-09-26,5 killed in Chittagong road crash,5.0,0.0
876,2016-09-24,Couple killed in road accident,2.0,0.0
877,2016-09-22,Couple killed as bus rams into house in Rajshahi,2.0,0.0
878,2016-09-21,4 killed in Munshiganj road accident,4.0,0.0
879,2016-09-19,Six die as car plunges into ditch in Comilla,6.0,0.0
880,2016-09-18,12 killed in road accidents,12.0,0.0
881,2016-09-18,Seven killed in Tangail road accidents,7.0,0.0
882,2016-09-17,17 killed in road accidents in 3 districts,17.0,0.0
883,2016-09-16,"5 killed, 21 injured in Tangail road accident",5.0,21.0
884,2016-09-16,Child among 4 killed in Dinajpur bus accident,4.0,0.0
885,2016-09-14,Elderly couple killed in Dhaka road accident,2.0,0.0
886,2016-09-14,Four home goers killed in Rangpur accident,4.0,0.0
887,2016-09-12,Seven killed in road accidents,7.0,0.0
888,2016-09-12,Two dead after truck overturns in Tangail,2.0,0.0
889,2016-09-11,16 killed in road accident in five districts,16.0,0.0
890,2016-09-11,Road crashes kill 4 in Gazipur,4.0,0.0
891,2016-09-10,Road accidents take lives of six,6.0,0.0
892,2016-09-09,Seven die in separate road accidents,7.0,0.0
893,2016-09-07,Two killed in Sirajganj road accident,2.0,0.0
894,2016-09-06,"One dead, 35 injured in Tangail accident",1.0,35.0
895,2016-09-02,JU Chhatra Dal leader killed in road accident,1.0,0.0
896,2016-08-26,2 killed in Tangail road accident,2.0,0.0
897,2016-08-19,Tarikat Federation leader killed in road crash,1.0,0.0
898,2016-08-17,6 killed in Pabna road accident,6.0,0.0
899,2016-08-15,Road accident kills 1 in Natore,1.0,0.0
900,2016-08-12,Traffic constable dies after truck runs him over,1.0,0.0
901,2016-08-04,Traffic constable crushed under truck in Ctg,1.0,0.0
902,2016-08-04,Two motorcyclists killed in Manikganj road accident,2.0,0.0
903,2016-07-16,Four die in Manikganj road accident,4.0,0.0
904,2016-07-15,BNP leader hurt in Dinajpur road crash,0.0,1.0
905,2016-06-25,Foreigners among 25 injured in Ctg road accident,0.0,25.0
906,2016-06-24,3 killed in Gazipur road accident,3.0,0.0
