date_of_incident,time_of_incident,published-time,incident_type,location,death_count,injury_count,type_of_vehicle1,type_of_vehicle2,description_text,full_text,published-time,link
2020-09-28,,"27 Sep 2020, 22:02",Head-on,Habiganj ,1.0,,Pickup Van,Bus,Driver killed in Habiganj road accident,"A driver of a pickup van was killed in a road accident in Riaznagar area on the Dhaka-Sylhet Highway under Madhobpur upazila of the district this morning, reports BSS. The deceased was identified as Nurul Amin Leon, 18, hailed from Cumilla district. Besides, another was injured in the accident. Police said the accident occurred when a pickup van collided head-on with a passenger bus in the area, leaving Nurul Amin dead on the spot. Officer-in-Charge (OC) of Shaistaganj Highway Thana Towfiqul Islam confirmed the incident.","27 Sep 2020, 22:02",https://en.prothomalo.com/bangladesh/accident/driver-killed-in-habiganj-road-accident
2020-09-22,19:30,"21 Sep 2020, 22:49",,Goplaganj ,2.0,,Bus ,Van,"Mother, 8-month-old child killed as bus hit battery-run cycle van","A mother and her minor child were killed after a speedy bus hit their battery-run cycle van on the Dhaka-Khulna highway in Goplaganj on Monday evening. The deceased are Mira Begum, 35, wife of Rafiq Kazi and their eight-month-old son Nur Mohammad Kazi.  They are residents of Falsi village of Kashiani upazila of Gopalganj.  Kashiani police station officer-in-charge (OC) Azizur Rahman said Mira along with family members was going in her husband's battery-run cycle van to her father-in-law’s house in Falsi village. A speedy bus headed for Byaspur, Kashiani from Gopalganj hit the van on the way at Milton Bazar at around 7:30pm, leaving Nur dead on the spot as he fell off her mother’s lap. As locals rescued the wounded and rushed them to Gopalganj General Hospital, the physicians there declared Mira dead, added the OC.","21 Sep 2020, 22:49",https://en.prothomalo.com/bangladesh/accident/mother-8-month-old-child-killed-as-bus-hit-battery-run-van
2020-09-21,,"21 Sep 2020, 20:43",,Cumilla ,2.0,,Bus,Motorcycle,"Mother, daughter killed in Cumilla road crash","A woman and her minor daughter were killed in a road accident on the Cumilla-Sylhet highway in Mainamoti area early Monday, BSS reports. The deceased were identified as Kulsum, 36, wife of Earshad Ali, a resident of Debiddar upazila and her three years old daughter Shahina, sub-inspector of Mainamoti Highway Police station Kamruzzaman told BSS. The accident took place in the area when a passenger bus hit a motorcycle carrying the victims, leaving the duo dead on the spot, he said. The bodies were sent to Cumilla Medical College Hospital morgue for autopsy. Police seized the bus but the driver managed to escape.","21 Sep 2020, 20:43",https://en.prothomalo.com/bangladesh/accident/mother-daughter-killed-in-cumilla-road-crash
2020-09-21,,"21 Sep 2020, 01:42",,Dhaka,1.0,1.0,Truck,Motorcycle,Motorcyclist killed in road crash,"A motorcyclist was killed and another was injured after a truck hit their vehicle in Kajla of Jatrabari, Dhaka early Monday, reports UNB. The deceased was identified as Ilius Bhuiyan, 45, of Sadekpur village in Brahmanbaria. Md Bacchu Miah, inspector of Dhaka Medical College Hospital police outpost, said that the accident took place in the area after 12:00am as the truck hit the vehicle, leaving the duo critically injured. They were taken to DMCH where physicians declared Ilius dead. Accidents on roads, railways and waterways killed at least 553 people and injured 669 others last month, according to passengers’ welfare body Bangladesh Jatri Kalyan Samity.","21 Sep 2020, 01:42",https://en.prothomalo.com/bangladesh/accident/motorcyclist-killed-in-road-crash
2020-09-19,09:45,"19 Sep 2020, 01:37",,Mymensingh ,2.0,12.0,Pickup Van,Microbus,"Father, son killed in road crash","A man and his minor son were killed and 12 other people injured following a collision between a pick-up van and a microbus on Mymensingh-Kishoreganj highway in Dangri area of Nandail, Mymensingh on Saturday morning, reports UNB. The deceased were identified as Fahad Alam, 32 and his son Turan Alam, 5, from Sribardi, Sherpur. Abdul Malek, team leader of fire service of Mymensingh, said that the accident took place around 9:45am when the Kishoreganj-bound microbus collided with the pickup van, leaving Turan dead on the spot and Fahad critically injured. Later, Fahad died on the way to Mymensingh Medical College Hospital. The other injured were admitted to Nandail upazila health complex and Mymensingh Medical College Hospital.","19 Sep 2020, 01:37",https://en.prothomalo.com/bangladesh/accident/father-son-killed-in-road-crash
2020-09-18,23:30,"18 Sep 2020, 23:13",,Gopalganj ,3.0,,Bus,Motorcycle,Three youths killed as bus crushes motorcycle,"Three motorcyclists were killed when a passenger bus hit them at Muksudpur in Gopalganj on Friday night.  The deceased were identified as resident of Gopinathpur village and vice president of Muksudpur college Chhatra League Al-Amin Thakur, 22, and residents of Chandibardi village Faisal Sardar, 30, and Liaqat Sheikh, 32. The accident took place on Dhaka-Khulna highway at the college intersection around 11:30pm. According to the police and locals, a Dhaka-bound Golden Line bus crushed the motorcycle headed to Muksudpur filling station. As the motorbike twisted and went under the bus, the three youths fell from the vehicle and Al-Amin died on the spot. Faisal was taken to Muksudpur Upazila Health Complex in a critical condition and succumbed to his injuries there. Liaqat died on the way to Faridpur while being taken to Faridpur for better treatment, according to tehm.  No passenger of the bus was injured in the incident, said Muksudpur police station officer-in-charge Shaker Mohammadd Zubayer, and added that the bodies were handed over to the families.","18 Sep 2020, 23:13",https://en.prothomalo.com/bangladesh/accident/three-youths-killed-as-bus-crushes-motorcycle
2020-09-18,13:30,"18 Sep 2020, 04:45",Head-on,Magura ,3.0,20.0,Bus,Bus,"Three killed, 20 injured in Magura road crash","At least three people were killed and 20 others injured after two buses crashed into each other on the Dhaka-Khulna Highway in Mugi area of Magura sadar upazila on Friday afternoon, reports UNB.  Police could not immediately confirm identities of the deceased.  Officer-in-charge of Magura police station Joynal Abedin said a bus of Shohagh Paribahan collided head-on with a Khulna-bound bus Chakladar Paribahan at 1:30pm leaving three people dead on the spot.     After the accident, Chakladar Paribahan bus plunged into a roadside ditch as another bus of Highest Paribahan hit it from behind, he said. Vehicular movement remained suspended for two hours after the accident, the OC said. The injured were admitted to the sadar hospital, he said. Police seized the three vehicles but their drivers are on the run, he added.  At least 459 people were killed and 618 others injured in 388 road accidents last month, according to a report prepared by Bangladesh Jatri Kalyan Samity. According to it, motorcycles were responsible for 28.98 per cent of the accidents, trucks and covered vans 21.61 per cent, buses 16.12 per cent, auto-rickshaws 8.74 per cent, battery-run ruckshaws and easy bikes 9.77 per cent, human hauler 7.71 per cent and jeep and microbus 7.03 per cent. ","18 Sep 2020, 04:45",https://en.prothomalo.com/bangladesh/accident/three-killed-20-injured-in-magura-road-crash
2020-09-16,,"16 Sep 2020, 05:33",,Panchagarh,2.0,,Tractor,Motorcycle,Two jail guards killed in Panchagarh road crash,"Two guards of Panchagarh district jail were killed as tractor hit their motorcycle in Panchagarh sadar upazila on Wednesday, reports UNB.  The deceased are Mehedi Hasan Moon, 22, son of Abdul Momin of Parbotipur in Dinajpur and Utpal Chandra Roy, 22, son of Satyendranath Roy of Pirganj in Thakurgaon.   Sub-inspector of Panchagarh police station Kaiyum Ali said a tractor crashed into the motorbike carrying the duo when they were going to Panchagarh, killing them on the spot. The bodies were sent to sadar hospital for autopsy, he said. ","16 Sep 2020, 05:33",https://en.prothomalo.com/bangladesh/accident/two-jail-guards-killed-in-panchagarh-road-crash
2020-09-09,,"09 Sep 2020, 07:57",Head-on,,6.0,,Van ,Ambulance,4 of a family among 6 killed in Barishal road crash,"Six people including four of a family were killed on Wednesday after a covered-van collided head-on with an ambulance in Atipara area of Wazirpur in Barishal, reports UNB.  The deceased were identified as Arif Hossain, 40, his mother Kohinur Begum, 60, his wife Sheuly Begum, 35, his brother Md Kaiyum, 38, and ambulance drive Md Alamgir Hossain, 38.  The Identity of another deceased could not be known immediately.  The family was returning from Dhaka with the body of their three-day old daughter who died in a Dhaka hospital in the morning, police said.    Witnesses said while the Jhalakathi- bound ambulance was returning from Dhaka a covered-van of Gazi Rice Mills collided with it, leaving six people dead. After colliding with the ambulance the covered-van instantly hit another covered-van that was running behind it, witnesses said.  Officer-in-charge of Wazirpur police station Ziaul Ahsan said they recovered six bodies from the spot and all of them were the passengers of the ambulance. Local fire service and civil defence and police operated the rescue operation. The covered van driver managed to flee the spot.","09 Sep 2020, 07:57",https://en.prothomalo.com/bangladesh/accident/4-of-a-family-among-6-killed-in-barishal-road-crash
2020-09-07,15:30,"10 Jul 2020, 00:40",Head-on,Lalmonirhat,1.0,,Auto Bike,Motorcycle,Physician killed in Lalmonirhat road accident,"A physician was killed in a road accident at Burirbazar point on the Burimari-Lalmonirhat highway in Aditmari upazila of Lalmonirhat district on Thursday afternoon, police and health officials said, reports BSS. “The accident occurred when an auto bike and motorcycle of the physician collided head-on there at 3:30 pm, wounding him critically,” Officer-in-Charge (OC) of Aditmari police station Saiful Islam said. He was rushed to nearby Aditmari Upazila Health Complex (AUHC) where the attending physician declared him dead. The victim was AFM Golam Kibria Adil, 33, a medical officer of the Directorate General of Health Services (DGHS) and son of Amjad Hossain of village Khatapara in Aditmari upazila of Lalmonirhat district. “Adil was completing Doctor of Medicine (MD) courses (Internal Medicine) on deputation at Dhaka Medical College Hospital (DMCH),” the OC said, adding that he recently came to his hometown Lalmonirhat. Assistant director (Health) for Rangpur division ZA Siddiqui said Adil was returning to their residence in Lalmonirhat town after meeting his colleagues at AUHC in Aditmari upazila town when the accident occurred.","10 Jul 2020, 00:40",https://en.prothomalo.com/bangladesh/accident/physician-killed-in-lalmonirhat-road-accident
2020-08-30,,"30 Aug 2020, 21:17",,Chattogram ,2.0,,Van ,Bicycle,Two schoolboys killed in Chattogram road crash,"Two schoolboys were killed after a Cox’s Bazar bound pick-up van hit them in Sheanpara area of Patiya in Chattogram on Sunday, reports UNB. The deceased were identified as Sirajul Islam, 16, a sixth grader of Kurangiri High School and son of Md Belal and Arman Hossain, 15, a fifth grader of Mohsena Primary School and son of Ilias Hossain. Officer-in-Charge of Patiya highway police, Bimal Chandra Bhowmik, said the students were riding by-cycle while a vehicle hit them. Physician declared them dead after being taken to the hospital, he said.  Drive is underway to spot the vehicle and its driver, OC said.","30 Aug 2020, 21:17",https://en.prothomalo.com/bangladesh/accident/two-schoolboys-killed-in-chattogram-road-crash
2020-08-29,,"29 Aug 2020, 05:17",,Sylhet,5.0,,Bus,Auto Rickshaw,Road crash kills five in Sylhet," Five people were killed in a collision between a bus and an auto-rickshaw in Chowghari Bazar area of Sylhet-Zakiganj highway in Gopalganj on Saturday, reports UNB.  Three of the deceased were identified as Lal Mia, 27, Bahar Uddin, 40, Jakaria, 30, while the identities of the others could not be known.   Officer-in-charge of Gopalganj police station Md Harunur Rashid said a Beanibazar bound bus crashed into the auto-rickshaw, leaving two people dead on the spot in the morning. Another died on the way to hospital and other two after their admission to Sylhet MAG Osmani Medical College Hospital. The deceased also include a 12 years old child, the OC said. ","29 Aug 2020, 05:17",https://en.prothomalo.com/bangladesh/accident/road-crash-kills-five-in-sylhet
2020-08-26,22:45,"26 Aug 2020, 01:10",Head-on,Chapainawabganj-Sonamasjid highway,1.0,0.0,Truck,Battery run Auto Rickshaw,Road accident kills one,"A man was killed in a road accident in Chakbohoram area on the Chapainawabganj-Sonamasjid highway in the district on Tuesday night, BSS reports. The deceased was identified as Md Babu, 25, son of late Yasin Ali of Krisnachanfrapur Chakkirti village under Shibganj upazila in the district. Officer-in-charge (OC) of Chapainawabganj Sadar Model Thana Md Mozaffar Hossain said, the accident occurred when a Chapainawabganj-bound truck collided head on with a battery-run autorickshaw coming from the opposite direction around 10.45 pm, leaving the driver of the autorickshaw on the spot. Police detained the truck but its driver managed to flee away.","26 Aug 2020, 01:10",https://en.prothomalo.com/bangladesh/accident/road-accident-kills-one
2020-08-22,06:00,,,Mymensingh ,2.0,,Truck,Trucck,,,,
2020-08-22,09:15,"22 Aug 2020, 03:05",,Mymensingh ,6.0,,Bus ,Car,Mymensingh road crashes kill 8,"Eight people were killed in separate road accidents in Bhaluka and Nandail upazilas of Mymensingh on Saturday morning, reports news agency UNB. In Bhaluka, six people were killed as a bus rammed a car on Dhaka-Mymensingh highway in front of Bhaluka Degree College in the morning. However, the details about the deceased could not be known yet. Bhaluka model police station officer-in-charge Main Uddin said the Dhaka-bound bus of ‘Imam Paribahan’ hit the car that was making u turn around 9:15am, leaving the six people dead on the spot. On information, police and fire service members recovered the bodies. Besides, two cattle traders Saidul, 42, and Mostakim, from Pakundia upazila of Kishoreganj, were killed as a truck hit another one in Jashora area of Nandail upazila around 6:00am. Monsur Ahmed, officer-in-charge of Nandail police station, said the accident took place when the cattle-laden truck from Roumari hit another stationary truck on Mymensingh-Kishoreganj road, leaving one dead on the spot and another injured. The injured died on the way to Mymensingh Medical College Hospital.","22 Aug 2020, 03:05",https://en.prothomalo.com/bangladesh/accident/mymensingh-road-crashes-kill-8
2020-08-22,09:15,"22 Aug 2020, 00:03",,Dhaka,6.0,2.0,bus,car,6 killed as bus hits car in Mymensingh,"Six people were killed and two injured as a bus hit a car in front of Bhaluka government college on Dhaka-Mymensingh highway in Mymensingh on Saturday morning. A Dhaka-bound bus of Imam Paribahan hit a car that was making u turn in front of Bhaluka government college in Bhaluka municipality around 9:15am, said Bhaluka model police station officer-in-charge Main Uddin. The bus pushed the car for around 200 feet, leaving it crushed and six people dead on the spot, he added. The deceased included three women, two men and a child, the OC said. The deceased could not be identified immediately. The injured were taken to Mymensingh Medical College Hospital. Police and fire service men jointly began a rescue drive after the accident, he added.","22 Aug 2020, 00:03",https://en.prothomalo.com/bangladesh/accident/6-killed-as-bus-hits-car-in-mymensingh
2020-08-21,12:00,"21 Aug 2020, 10:25",,Tangail ,4.0,2.0,Bus,CNG run Auto Rickshaw,Four of a family killed in Tangail road accident," Four members of a family were killed and two more injured as a passenger bus crashed into a CNG-run auto-rickshaw at Rabna bypass area of Tangail district town Friday noon, reports UNB.  The deceased are Md Alamin, 54, headteacher of Bhadra Shimul Dakshinpara Government Primary School in Gabshara union, his wife Sheuli Khatun, 42, his father Md Sohrab Ali, 75, and mother Saleha Begum, 70.   Motiur Rahman, a sub-inspector of Elenga highway police outpost, said the accident took place around 12:00pm when Md Alamin along with his four family members was heading towards the district town from Bhuapur upazila. When they reached Rabna bypass area, a passenger bus rammed into their auto-rickshaw, leaving them injured.  Later, locals took them to Tangail General Hospital where Sheuli succumbed to her injuries, Motiur said, adding that the other three died while being taken to Dhaka for better treatment, he added. One family member and the driver survived the crash. ","21 Aug 2020, 10:25",https://en.prothomalo.com/bangladesh/accident/four-of-a-family-killed-in-tangail-road-accident
2020-08-19,10:30,"19 Aug 2020, 02:01",Rear end,Dhaka ,1.0,,Bus ,Motorcycle,Motorcyclist killed in city road crash,"A motorcyclist was killed after a bus hit the motorbike from behind at Shanir Akhra in city’s Jatrabari area on Wednesday morning, UNB reports. The deceased was identified as Masud Hossain, 40, son of Delwar Hossain, a resident of Demra. The accident took place around 10:30am when the bus hit the motorbike carrying Masud, a father of three, leaving him injured, said inspector Bachchu Mia, in-charge of Dhaka Medical College Hospital (DMCH) police outpost. Later, he was taken to DMCH where the doctors declared them dead.","19 Aug 2020, 02:01",https://en.prothomalo.com/bangladesh/accident/motorcyclist-killed-in-city-road-crash-2
2020-08-17,07:30,"17 Aug 2020, 23:09",,Mymensingh,8.0,,microbus,,Eight of a family killed as microbus plunges into pond,"Eight people, including a child, were killed as a microbus plunged into a roadside pond in Bashati area of Phulpur upazila in Mymensingh on Tuesday morning, BSS reports. The accident occurred around 7.30 am when the driver of the microbus lost control over the steering and fell into the roadside pond, officer-in-charge of Phulpur Police Station Imarat Hossain told BSS. Police and fire service units, being informed, rushed to the spot and rescued the injured and recovered the bodies. The details of the dead are not known yet, the official added.","17 Aug 2020, 23:09",https://en.prothomalo.com/bangladesh/accident/8-killed-in-mymensingh-road-accident
2020-08-16,,"16 Aug 2020, 00:43",,Savar ,2.0,,Bus,Motorcycle,2 HSC examinees killed in Savar road crash,"Two examinees of Higher Secondary Certificate (HSC) were killed after a bus hit a motorcycle on Dhaka-Aricha Highway at Srirampur in Dhamrai upazila of Savar on Sunday, UNB reports. The deceased were identified as Sajib, son of Sagar Ali and Rashedul Islam, 20, son of Altab Hossain of the upazila. Manirul Islam, officer-in-charge of Manikganj Golra Highway Police, said the accident took place in the morning when the Patuaria-bound bus of ‘Sakura Paribahan’ hit the motorbike carrying the two students, leaving them dead on the spot. Traffic movement on the road remained halted for sometimes following the accident. Police seized the bus but could not arrest anyone.","16 Aug 2020, 00:43",https://en.prothomalo.com/bangladesh/accident/2-hsc-examinees-killed-in-savar-road-crash
2020-08-13,19:40,"13 Aug 2020, 21:33",,Sylhet,6.0,2.0,Bus,CNG run Auto Rickshaw,Sylhet road accident toll rises to 6,"The death toll from road accident in Bhangha area on Dhaka-Sylhet Highway in Usmaninagar upazila of Sylhet on Thursday evening has risen to six as four severally injured persons were declared dead on arrival at Sylhet Osmani Medical College and Hospital. Local police said the accident claimed six people including five members of a family and injured two others, reports news agency UNB. The deceased were identified as Junayed Ahmed, 28, an CNG-run auto-rickshaw driver and Jahangir, 30, Hamida Begum, 36 of Brahmangram in Osmaninagar upazila and her daughters Arifa 12, Karima Begum, 8 and Khadiza, 2. Locals and police said the accident occurred in the area when a Sylhet-bound bus hit the CNG-run auto rickshaw around 7.40pm yesterday, leaving Junayed and Hamida dead on the spot and wounding six others. Later, the seriously injured people were rushed to the Osmani Medical College Hospital, Sylhet where on physicians declared Jahangir, Arifa, Karima and Khadiza dead, officer-in-charge (OC) of Osmaninagar police station Shyamal Bonik said. The bodies will be handed over to their family members after autopsies, he added.","13 Aug 2020, 21:33",https://en.prothomalo.com/bangladesh/accident/sylhet-road-accident-toll-rises-to-6
2020-08-13,,"13 Aug 2020, 12:45",,Sylhet,4.0,,Bus,Auto Rickshaw,Sylhet road crash kills four,"At least four people, including three members of a family, were killed and two others injured in a road accident in Sylhet's Osmani Nagar upazila on Thursday. A bus hit an auto-rickshaw in Bhanga area of Dhaka-Sylhet Highway in the evening. Three of the deceased were identified as auto-rickshaw driver Juned Mia, 28, Karima, 4, and Arfa, 12, while identity of their mother could not be known immediately. Officer-in-charge of Osmani Nagar police station Shaymal Banik said a Sylhet-bound bus of Mamun Paribahan collided with a Sherpur-bound auto-rickshaw killing two of its passengers on the spot. Later, two other passengers died while being taken to the hospital. The injured are being treated at the Sylhet MAG Osmani Medical College Hospital, the OC said.","13 Aug 2020, 12:45",https://en.prothomalo.com/bangladesh/accident/sylhet-road-crash-kills-four-2
2020-08-08,15:45,"08 Aug 2020, 09:59",Head-on,Mymensingh ,7.0,,Bus,CNG Run Auto Rickshaw,Mymensingh road crash kills 7,"Seven persons including three of a same family were killed in a road accident at Roychora area on Muktagachha- Jamalpur road in Mymensingh Saturday afternoon, reports BSS. Officer in charge (OC) of Muktagachha police station Biplop Kumar said the accident took place when a Jamalpur bound bus collided head on with a CNG coming from opposite direction at 3:45pm killing four persons on the spot including CNG driver . Three passengers who were critically injured in the accident died on their way to hospital, police and eyewitnesses said. On hearing the news police rushed to spot and recovered the bodies. Six persons were identified as Nur Islam 35, his wife Taslima 26, and her daughter Liza Akhter 12 , Nuzrul islam 30, Saidul Islam 45, Nazal Islam 50 and CNG driver Aladul 38 Shortly after the incident police in collaboration with the locals arrested the driver Kamal Hossain of the bus. A case was filed with Muktagachha police station in this connection.","08 Aug 2020, 09:59",https://en.prothomalo.com/bangladesh/accident/mymensingh-road-crash-kills-7
2020-08-02,02:00,"07 Feb 2020, 22:48",,Cumilla ,2.0,10.0,Bus ,Van,2 killed in Cumilla road accident,"A bus supervisor and a covered van driver were killed and 10 others injured in a road accident on Dhaka-Chattogram highway in Jagannathdighi area of Chauddagram upazila in Cumilla early Saturday, reports UNB. AKM Sharfuddin, in-charge of Miabazar highway police outpost, said the accident took place around 2:00am when the ‘Ena Paribahan’ bus hit the covered van, leaving the two dead on the spot. The details about the deceased could not be known yet. In 2019, some 5,516 road accidents killed at least 7,855 people and injured 13,330 others, Bangladesh Jatri Kalyan Samity said.","07 Feb 2020, 22:48",https://en.prothomalo.com/bangladesh/2-killed-in-Cumilla-road-accident
2020-08-01,07:30,,,Chittagong,2.0,2.0,Truck ,Car,,,,
2020-08-01,22:30,"08 Jan 2020, 19:25",,Chittagong,1.0,1.0,Van,,3 killed in separate road accidents,"Three people, including a woman, were killed and three others were injured in separate road accidents on Dhaka-Chattogram Highway in Sitakunda and Mirsarai upazila on Wednesday night, reports UNB. An unidentified woman was killed and her seven-year-old child was injured when a Chattogram-bound covered-van hit them while crossing road at Fakirhat in Sitakunda upazila around 10:30pm, said sub-inspector Saiful Islam of Baro Aulia Highway Police Camp. The injured child was taken to Chittagong Medical College Hospital (CMCH). Angered by the incident, locals put up barricades on the road and disrupted traffic movement for an hour. On information, police went to the spot and brought the situation under control. In another incident, two people identified as Mohammad Abdullah and Mezba Uddin of Mirsarai upazila were killed and two others were injured when a truck hit a private car at Kumira in the upazila around 7:30am.","08 Jan 2020, 19:25",https://en.prothomalo.com/bangladesh/3-killed-in-separate-road-accidents
2020-07-31,05:30,"31 Jul 2020, 10:01",,Sylhet,5.0,1.0,Bus ,Car ,Road crashes kill 11 in three districts,"Eleven people, including four members of a family, were killed and 10 others injured in separate road crashes in Sylhet, Habiganj and Gaibandha districts on Friday, reports news agency UNB. In Sylhet, five people, including four members of a family, were killed and another injured after a bus hit a private car on Dhaka-Sylhet highway at Boraya Chanpur in Osmaninagar upazila. The deceased are Swapan Kumar Das, his wife Lovely Rani Das and their two children — Saj and Sajon of Dirai upazila in Sunamganj and private car driver Hashem. They were going to their village home. Another child of the couple Sourav was injured in the accident and was undergoing treatment at Sylhet Osmani Medical College Hospital. The accident took place around 5:30am when a Cumilla-bound bus of ‘Cumilla Transport’ hit the Sylhet-bound private car. Five people died on the spot and one was injured, said Mainul Islam, officer-in-charge of Sylhet highway police. A firefighting unit went to the spot and recovered the bodies and sent those to local hospital morgue. Police also seized the bus. In Gaibandha, three people were killed and six others were injured in a head-on collision between a covered van and private car on Dhaka-Rangpur Highway at Nundah bridge point in Gobindaganj upazila. The deceased are Shahed Mia, 40, Kajal Mia, 32, of Pirganj upazila and Shakil Islam, 56, of Gangachara upazila of Rangpur. Enamul Haque, deputy director of Gaibandha Fire Service and Civil Defense, said the accident took place in the morning when the covered-van loaded with tiles hit the private car, leaving three people dead on the spot and six others injured. All the victims were passengers of the covered-van. In Habiganj, three people including two garments workers were killed and three others injured when a bus rammed a private car on Dhaka-Sylhet highway at Abdanarayan in Bahubal upazila in the morning. Two of the deceased are Shahida, 35, Maleka, 22 of Bishwambhorpur village in Sunamganj district while the identity of another one could not be known immediately. Toufiqul Islam Toufiq, officer-in-charge of Shayestaganj highway police station, said the Monohardi-bound bus hit the private car carrying six people around 6 am, leaving three dead on the spot and three others injured. The injured were taken to Osmani Medical College and Hospital.","31 Jul 2020, 10:01",https://en.prothomalo.com/bangladesh/accident/road-crashes-kill-11-in-three-districts
2020-07-31,,,Head-on,Habiganj ,3.0,6.0,Van ,Car,,,,
2020-07-31,06:00,,,Gaibandha ,3.0,3.0,Bus ,Car,,,,
2020-07-30,04:00,"30 Jul 2020, 00:16",,Gopalganj ,3.0,2.0,Car,,Three killed in Gopalganj road crash,"A Singapore expatriate along with his father and his brother-in-law were killed after a private car crashed into the railing of a railway flyover on Dhaka-Khulna highway in Kashiani, Gopalganj on Thursday morning, reports news agency UNB. The deceased were identified as Ziaul Haque, 55, his son Emdadul Haque, 25, of Dighalia in Khulna and his brother-in-law Sazzad Molla, 35, of Narail. Confirming their identities, Md Ataur Rahman, officer-in-charge of Bhanga Highway police station, said three of them were killed on the spot around 4:00am while two others injured. The accident occurred when Singapore expatriate Emdadul Haque was going home with his father and sister’s husband by a rented private car from Hazrat Shahjalal International Airport, the OC added. The injured were taken to Gopalganj General Hospital, OC Ataur Rahman said adding that the bodies were handed over to their relatives.","30 Jul 2020, 00:16",https://en.prothomalo.com/bangladesh/accident/three-killed-in-gopalganj-road-crash
2020-07-29,13:00,"29 Jul 2020, 07:54",,Chandpur ,3.0,3.0,Bus,CNG Run Auto Rickshaw,Three killed in Chandpur road crash,"Three people were killed and three others injured as a bus collided with a CNG-run auto-rickshaw in Kakoirtola area of Chandpur-Cumilla highway in Chandpur's Shahrasti upazila on Wednesday, reports UNB.  The deceased were identified as auto-rickshaw driver Monir Hossain, 45, and Gunodhar Chakraborty, 70, and Hari Chandra Chakraborty, 55.  Officer-in-Charge of Shahrasti police station Shah Alam said the accident occurred at 1:00pm when the Chandpur -bound bus of Padma Paribahan collided with the Cumilla bound auto-rickshaw, killing three people on the spot.  The bodies were handed over to their families considering their request, the OC said.  The injured were admitted to a local hospital, he added. ","29 Jul 2020, 07:54",https://en.prothomalo.com/bangladesh/accident/three-killed-in-chandpur-road-crash
2020-07-22,,"22 Jul 2020, 09:44",Head-on,Cox’s Bazar,6.0,4.0,Van ,Human Hauler,Cox’s Bazar road crash kills six,"Six people were killed and four others injured following head- on collision between a covered van and human hauler in Burir Dokan area of Chakaria upazila in Cox's Bazar on Wednesday evening, reports UNB.  Four of the deceased are-Badiul Alam, 50, a resident of Harbang Nun Bazar area, Foraz Ahmed, 32, of Konakhali of the upazila, Amin, 48, a resident Lama upazila in Bandarban, and Minar Uddin, 23, of Amirabad area of Lohagara upazila of Chattogram district.  Md Anisur Rahman, in-charge of Chiringha highway police outpost, said that the accident took place on Chattogram-Cox's Bazar highway when the covered van collided with the human hauler ( locally named as Charpoka), leaving six passengers of the human hauler dead on the spot and four others injured.  After the collision, both the vehicles fell into a roadside ditch.  On information, police recovered the bodies.  Besides, the injured were sent to Chattogram Medical College Hospital.","22 Jul 2020, 09:44",https://en.prothomalo.com/bangladesh/accident/coxs-bazar-road-crash-leaves-6-dead
2020-07-17,,"17 Jul 2020, 11:57",,Feni ,2.0,0.0,CNG Run Auto RIckshaw,CNG Run Auto Rickshaw,Siblings killed in Feni road crash,"A head-on collision between two CNG auto-rickshaws left two siblings killed at Gainbari of Feni’s Fulgazi upazila on Friday. The deceased were Bachchu Mia, 75, and his sister Khuki Akter, 55, residents of Dakshin Kashimpur village in Feni Sadar upazila. Relatives said the accident took place on the Feni-Parshuram regional highway when they were returning home after visiting relatives in the afternoon. A CNG came from the opposite direction and smashed into their vehicle when they reached Gainbari, leaving the duo critically injured, they added. They were rushed to Feni General Hospital but the physicians pronounced them dead. Nurul Alam Siddiqui, a physician at emergency department of the hospital, said the duo had succumbed to their injuries before they reached the hospital. The bodies were kept at the hospital morgue.","17 Jul 2020, 11:57",https://en.prothomalo.com/bangladesh/accident/siblings-killed-in-feni-road-crash
2020-07-10,,"07 Oct 2020, 08:12",Lost Control,Brahmanbaria ,3.0,25.0,Bus ,Motorcycle,Three killed in Brahmanbaria road accident,"At least three people were killed and 25 others injured as a bus fell into a roadside ditch in Islampur area of Bijoynagar upazila, Brahmanbaria on Wednesday. The identities of the deceased could not be known immediately, reports BSS. The accident occurred on the Dhaka-Sylhet highway when a Sylhet-bound bus from Dhaka lost control while trying to avoid collision with a motorbike and fell into the ditch, said Khatihata highway police station officer-in-charge Mahabubur Rahman. Three people died on the spot. The injured were sent to Madhabpur Upazila Health Complex in Habiganj district, he added.","07 Oct 2020, 08:12",https://en.prothomalo.com/bangladesh/accident/three-killed-in-brahmanbaria-road-accident
