Newspaper Name,Accident date,Header,News title,Deaths,Injured
Dhaka Tribune,Aug 20 2020,2 Bangladeshis among 3 killed in New York road accident,2 Bangladeshis among 3 killed in New...,2,0
Dhaka Tribune,Aug 19 2020,1 killed in collision between bus and motorcycle in Jatrabari,1 killed in collision between bus and...,1,0
Dhaka Tribune,Aug 18 2020,Mountaineer Reshma hit-and-run: Killer microbus driver arrested,Police arrest microbus driver who ran...,1,0
Dhaka Tribune,Aug 14 2020,Man killed in Dhaka road accident,Man killed in Dhaka road accident,1,0
Dhaka Tribune,Aug 14 2020,Sylhet road accident death toll reaches 6,Sylhet road accident death toll reaches...,6,0
Dhaka Tribune,Aug 14 2020,Four killed as bus collides with three-wheeler,Four killed as bus collides with...,4,0
Dhaka Tribune,Aug 13 2020,3 of a family among 4 killed in bus-car collision in Kurigram,3 of a family killed in bus-car collision...,3,0
Dhaka Tribune,Aug 8 2020,7 killed in Mymensingh road crash,7 killed in Mymensingh road crash,7,0
Dhaka Tribune,Aug 6 2020,7 killed in road accidents,7 killed in road accidents,7,0
Dhaka Tribune,Aug 3 2020,7 killed in road crash in 3 districts,7 killed in road crash in 3...,7,0
Dhaka Tribune,Aug 2 2020,2 killed in Comilla road accident,2 killed in Comilla road accident,2,0
Dhaka Tribune,Aug 2 2020,ATN News official among 2 killed in Meherpur road crash,ATN News official among 2 killed in...,2,0
Dhaka Tribune,Jul 29 2020,Three killed in Chandpur road crash,Three killed in Chandpur road,3,0
Dhaka Tribune,Jul 26 2020,Road accidents claim 9 lives in 4 districts,Road accidents claim 9 lives in 4...,9,0
Dhaka Tribune,Jul 7 2020,Three of a family killed in Comilla road accident,Three of a family killed in Comilla...,3,0
Dhaka Tribune,Jul 4 2020,"Four killed in Gazipur, Lakshmipur road crashes","Four killed in Gazipur, Lakshmipur road...",4,0
Dhaka Tribune,Jul 3 2020,Three-wheeler driver killed in Jhenaidah road accident,Three-wheeler driver killed in Jhenaidah...,1,0
Dhaka Tribune,Jul 1 2020,"Road accident kills 4, injures 6 in Rangpur","Road accident kills 4, injures 6 in...",4,6
Dhaka Tribune,Jun 28 2020,3 killed as truck crashes into the divider on Tangail highway,3 killed in Tangail road crash,3,0
Dhaka Tribune,Jun 24 2020,"Three passengers die after three-wheeler, truck collide in Thakurgaon","Three passengers die after three-wheeler,...",3,0
Dhaka Tribune,Jun 24 2020,Road accident claims two lives in Sirajganj,Road accident claims two lives in...,2,0
Dhaka Tribune,Jun 23 2020,2 killed as tree falls on motorcycle in Habiganj,2 killed as tree falls on motorcycle...,2,0
Dhaka Tribune,Jun 17 2020,Three killed in Sirajganj road accident,Three killed in Sirajganj road...,3,0
Dhaka Tribune,Jun 14 2020,Three of a family among four killed in Rajbari road accident,Four killed in Rajbari road...,4,0
Dhaka Tribune,Jun 13 2020,Road crash kills two BGB troopers in Rajshahi,Road crash kills two BGB troopers in...,,0
Dhaka Tribune,Jun 4 2020,"2 killed, 1 injured in Banglamotor road accident","2 killed, 1 injured in Banglamotor road...",2,1
Dhaka Tribune,Jun 1 2020,"12 killed, 21 injured in road accident in Nepal","12 killed, 21 injured in road accident...",12,0
Dhaka Tribune,May 28 2020,Two students killed in motorbike crash in Dhaka,Two students killed in motorbike crash...,2,0
Dhaka Tribune,May 22 2020,3 die in Narayanganj road accident,3 die in Narayanganj road accident,3,0
Dhaka Tribune,May 22 2020,13 killed in Gaibandha road accident,13 killed in Gaibandha road...,12,0
Dhaka Tribune,May 19 2020,"12 killed, 22 injured in road accidents","12 killed, 22 injured in road...",12,22
Dhaka Tribune,May 11 2020,Agriculture officer killed in Habiganj road crash,Agriculture officer killed in Habiganj...,1,0
Dhaka Tribune,May 3 2020,Road crashes claim 211 lives in April despite lockdown,Road crashes claim 211 lives in April...,211,0
Dhaka Tribune,Apr 28 2020,"Two farm workers killed, four injured in Bogra road accident","Two farm workers killed, four injured...",2,0
Dhaka Tribune,Apr 24 2020,Four killed in road accidents,Four killed in road accidents,4,0
Dhaka Tribune,Apr 20 2020,Coronavirus: 10 people killed each day in road accidents amid shutdown,Coronavirus: 10 people killed each day...,10,0
Dhaka Tribune,Apr 16 2020,"1 soldier killed, 21 injured as army truck crashes in Dhaka","1 soldier killed, 21 injured as army...",1,21
Dhaka Tribune,Apr 1 2020,Two killed in Mymensingh road accident,Two killed in Mymensingh road...,2,0
Dhaka Tribune,Mar 28 2020,7 killed in road accidents,7 killed in road accidents,7,0
Dhaka Tribune,Mar 25 2020,Woman killed in Savar road accident,Woman killed in Savar road,1,0
Dhaka Tribune,Mar 25 2020,18 killed in road accidents in 7 districts,18 killed in road accidents in 7...,18,0
Dhaka Tribune,Mar 22 2020,Chittagong road accident: Death toll rises to 15,Chittagong road accident: Death toll...,15,0
Dhaka Tribune,Mar 21 2020,12 killed in Chittagong road accident,12 killed in Chittagong road...,12,0
Dhaka Tribune,Mar 20 2020,Road accidents claim 11 lives,Road accidents claim 11 lives,11,0
Dhaka Tribune,Mar 18 2020,Policeman crushed under wheels of a bus,Policeman crushed under wheels of a...,1,0
Dhaka Tribune,Mar 15 2020,8 killed in road accidents,8 killed in road accidents,8,0
Dhaka Tribune,Mar 14 2020,Eight killed in road accidents,Eight killed in road accidents,8,0
Dhaka Tribune,Mar 13 2020,13 killed in road accidents,13 killed in road accidents,13,0
Dhaka Tribune,Mar 10 2020,Road crashes kill 4 across the country,Road crashes kill 4 across the...,4,0
Dhaka Tribune,Mar 9 2020,Tangail road crash kills 6,Tangail road crash kills 6,6,0
Dhaka Tribune,Mar 7 2020,5 killed in road crashes,5 killed in road crashes,5,0
Dhaka Tribune,Mar 6 2020,10 people killed as microbus rams into tree in Habiganj,10 people killed as microbus rams into...,10,0
Dhaka Tribune,Mar 6 2020,DU student killed in city road accident,DU student killed in city road...,1,0
Dhaka Tribune,Mar 6 2020,Road accidents kill 21 in 5 districts,Road accidents kill 21 in 5...,21,0
Dhaka Tribune,Mar 1 2020,2 killed in Jessore road accident,2 killed in Jessore road accident,2,0
Dhaka Tribune,Feb 29 2020,Road accidents claim 21 lives,Road accidents claim 21 lives,21,0
